"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M1","TOT","IDX2015","A","1961",0.4913092,
"AUS","M1","TOT","IDX2015","A","1962",0.5005294,
"AUS","M1","TOT","IDX2015","A","1963",0.5179484,
"AUS","M1","TOT","IDX2015","A","1964",0.5573983,
"AUS","M1","TOT","IDX2015","A","1965",0.5609143,
"AUS","M1","TOT","IDX2015","A","1966",0.5719894,
"AUS","M1","TOT","IDX2015","A","1967",0.6111585,
"AUS","M1","TOT","IDX2015","A","1968",0.6545889,
"AUS","M1","TOT","IDX2015","A","1969",0.7068862,
"AUS","M1","TOT","IDX2015","A","1970",0.750939,
"AUS","M1","TOT","IDX2015","A","1971",0.7872307,
"AUS","M1","TOT","IDX2015","A","1972",0.8713947,
"AUS","M1","TOT","IDX2015","A","1973",1.072689,
"AUS","M1","TOT","IDX2015","A","1974",1.118132,
"AUS","M1","TOT","IDX2015","A","1975",1.304535,
"AUS","M1","TOT","IDX2015","A","1976",1.497904,
"AUS","M1","TOT","IDX2015","A","1977",1.624245,
"AUS","M1","TOT","IDX2015","A","1978",1.760773,
"AUS","M1","TOT","IDX2015","A","1979",2.04079,
"AUS","M1","TOT","IDX2015","A","1980",2.336808,
"AUS","M1","TOT","IDX2015","A","1981",2.58253,
"AUS","M1","TOT","IDX2015","A","1982",2.638073,
"AUS","M1","TOT","IDX2015","A","1983",2.800744,
"AUS","M1","TOT","IDX2015","A","1984",3.102235,
"AUS","M1","TOT","IDX2015","A","1985",3.443785,
"AUS","M1","TOT","IDX2015","A","1986",3.700749,
"AUS","M1","TOT","IDX2015","A","1987",4.352687,
"AUS","M1","TOT","IDX2015","A","1988",5.153475,
"AUS","M1","TOT","IDX2015","A","1989",5.947243,
"AUS","M1","TOT","IDX2015","A","1990",6.17486,
"AUS","M1","TOT","IDX2015","A","1991",6.691927,
"AUS","M1","TOT","IDX2015","A","1992",7.870316,
"AUS","M1","TOT","IDX2015","A","1993",9.283165,
"AUS","M1","TOT","IDX2015","A","1994",10.76142,
"AUS","M1","TOT","IDX2015","A","1995",11.25925,
"AUS","M1","TOT","IDX2015","A","1996",12.62577,
"AUS","M1","TOT","IDX2015","A","1997",14.42058,
"AUS","M1","TOT","IDX2015","A","1998",15.87794,
"AUS","M1","TOT","IDX2015","A","1999",17.13405,
"AUS","M1","TOT","IDX2015","A","2000",18.76776,
"AUS","M1","TOT","IDX2015","A","2001",21.59579,
"AUS","M1","TOT","IDX2015","A","2002",28.34887,
"AUS","M1","TOT","IDX2015","A","2003",32.18718,
"AUS","M1","TOT","IDX2015","A","2004",34.85081,
"AUS","M1","TOT","IDX2015","A","2005",38.09094,
"AUS","M1","TOT","IDX2015","A","2006",42.13395,
"AUS","M1","TOT","IDX2015","A","2007",47.79137,
"AUS","M1","TOT","IDX2015","A","2008",51.4688,
"AUS","M1","TOT","IDX2015","A","2009",59.51107,
"AUS","M1","TOT","IDX2015","A","2010",61.22116,
"AUS","M1","TOT","IDX2015","A","2011",64.81467,
"AUS","M1","TOT","IDX2015","A","2012",67.81318,
"AUS","M1","TOT","IDX2015","A","2013",77.31875,
"AUS","M1","TOT","IDX2015","A","2014",87.21201,
"AUS","M1","TOT","IDX2015","A","2015",100,
"AUS","M1","TOT","IDX2015","A","2016",109.8288,
"AUS","M1","TOT","IDX2015","A","2017",120.1681,
"AUS","M1","TOT","IDX2015","A","2018",126.9559,
"AUS","M1","TOT","IDX2015","A","2019",140.4953,
"AUS","M1","TOT","IDX2015","A","2020",181.7957,
"AUS","M1","TOT","IDX2015","A","2021",218.1755,
"AUS","M1","TOT","IDX2015","A","2022",242.9206,
"CAN","M1","TOT","IDX2015","A","1955",1.112291,
"CAN","M1","TOT","IDX2015","A","1956",1.123932,
"CAN","M1","TOT","IDX2015","A","1957",1.105941,
"CAN","M1","TOT","IDX2015","A","1958",1.211773,
"CAN","M1","TOT","IDX2015","A","1959",1.241405,
"CAN","M1","TOT","IDX2015","A","1960",1.256222,
"CAN","M1","TOT","IDX2015","A","1961",1.322896,
"CAN","M1","TOT","IDX2015","A","1962",1.367345,
"CAN","M1","TOT","IDX2015","A","1963",1.444602,
"CAN","M1","TOT","IDX2015","A","1964",1.520801,
"CAN","M1","TOT","IDX2015","A","1965",1.618166,
"CAN","M1","TOT","IDX2015","A","1966",1.727173,
"CAN","M1","TOT","IDX2015","A","1967",1.896504,
"CAN","M1","TOT","IDX2015","A","1968",1.985402,
"CAN","M1","TOT","IDX2015","A","1969",2.1251,
"CAN","M1","TOT","IDX2015","A","1970",2.179074,
"CAN","M1","TOT","IDX2015","A","1971",2.457412,
"CAN","M1","TOT","IDX2015","A","1972",2.832056,
"CAN","M1","TOT","IDX2015","A","1973",3.247974,
"CAN","M1","TOT","IDX2015","A","1974",3.549594,
"CAN","M1","TOT","IDX2015","A","1975",4.007369,
"CAN","M1","TOT","IDX2015","A","1976",4.317848,
"CAN","M1","TOT","IDX2015","A","1977",4.685973,
"CAN","M1","TOT","IDX2015","A","1978",5.148023,
"CAN","M1","TOT","IDX2015","A","1979",5.464259,
"CAN","M1","TOT","IDX2015","A","1980",5.890898,
"CAN","M1","TOT","IDX2015","A","1981",6.228649,
"CAN","M1","TOT","IDX2015","A","1982",6.454484,
"CAN","M1","TOT","IDX2015","A","1983",7.379314,
"CAN","M1","TOT","IDX2015","A","1984",8.068068,
"CAN","M1","TOT","IDX2015","A","1985",10.01189,
"CAN","M1","TOT","IDX2015","A","1986",11.96307,
"CAN","M1","TOT","IDX2015","A","1987",13.53058,
"CAN","M1","TOT","IDX2015","A","1988",13.92445,
"CAN","M1","TOT","IDX2015","A","1989",14.83465,
"CAN","M1","TOT","IDX2015","A","1990",15.6148,
"CAN","M1","TOT","IDX2015","A","1991",16.37168,
"CAN","M1","TOT","IDX2015","A","1992",17.06007,
"CAN","M1","TOT","IDX2015","A","1993",17.93626,
"CAN","M1","TOT","IDX2015","A","1994",19.4368,
"CAN","M1","TOT","IDX2015","A","1995",19.58873,
"CAN","M1","TOT","IDX2015","A","1996",21.19353,
"CAN","M1","TOT","IDX2015","A","1997",23.55716,
"CAN","M1","TOT","IDX2015","A","1998",25.11985,
"CAN","M1","TOT","IDX2015","A","1999",26.52283,
"CAN","M1","TOT","IDX2015","A","2000",29.28147,
"CAN","M1","TOT","IDX2015","A","2001",32.19206,
"CAN","M1","TOT","IDX2015","A","2002",35.36032,
"CAN","M1","TOT","IDX2015","A","2003",36.72045,
"CAN","M1","TOT","IDX2015","A","2004",39.72519,
"CAN","M1","TOT","IDX2015","A","2005",42.2633,
"CAN","M1","TOT","IDX2015","A","2006",45.79271,
"CAN","M1","TOT","IDX2015","A","2007",49.89303,
"CAN","M1","TOT","IDX2015","A","2008",54.16786,
"CAN","M1","TOT","IDX2015","A","2009",60.81124,
"CAN","M1","TOT","IDX2015","A","2010",67.57454,
"CAN","M1","TOT","IDX2015","A","2011",72.78296,
"CAN","M1","TOT","IDX2015","A","2012",79.78663,
"CAN","M1","TOT","IDX2015","A","2013",86.26994,
"CAN","M1","TOT","IDX2015","A","2014",92.77506,
"CAN","M1","TOT","IDX2015","A","2015",100,
"CAN","M1","TOT","IDX2015","A","2016",108.7236,
"CAN","M1","TOT","IDX2015","A","2017",119.0326,
"CAN","M1","TOT","IDX2015","A","2018",124.7945,
"CAN","M1","TOT","IDX2015","A","2019",131.7761,
"CAN","M1","TOT","IDX2015","A","2020",161.3574,
"CAN","M1","TOT","IDX2015","A","2021",194.7473,
"CAN","M1","TOT","IDX2015","A","2022",203.1914,
"CZE","M1","TOT","IDX2015","A","1992",11.00073,
"CZE","M1","TOT","IDX2015","A","1993",11.9376,
"CZE","M1","TOT","IDX2015","A","1994",14.73015,
"CZE","M1","TOT","IDX2015","A","1995",16.39544,
"CZE","M1","TOT","IDX2015","A","1996",17.86234,
"CZE","M1","TOT","IDX2015","A","1997",17.05099,
"CZE","M1","TOT","IDX2015","A","1998",16.15363,
"CZE","M1","TOT","IDX2015","A","1999",17.59025,
"CZE","M1","TOT","IDX2015","A","2000",20.24264,
"CZE","M1","TOT","IDX2015","A","2001",22.77059,
