peri;mes;codipart;detapart;importe;mza;naci;importe_hoy
2007;1;55;Resultado Operativo - Amortizacion de la D Consolidada;59.04;0.279037;0.279037;22346.81
2007;1;54;Amortizacion de la Deuda Consolidada;17.89;0.279037;0.279037;6771.42
2007;1;53;IX. Resultado Operativo (VIII-IX);76.93;0.279037;0.279037;29118.23
2007;1;52;VIII. Egresos Totales (II+V+VI+VII);199.06;0.279037;0.279037;75344.79
2007;1;51;VII. Ingresos Totales (I+IV);275.99;0.279037;0.279037;104463.02
2007;1;50;Otros;0.00;0.279037;0.279037;0.00
2007;1;49;Compra de Acciones, Titulos, Valores, Otros;0.00;0.279037;0.279037;0.00
2007;1;48;Prestamos;0.00;0.279037;0.279037;0.00
2007;1;47;Inversion Financiera;0.00;0.279037;0.279037;0.00
2007;1;46;al Sector Privado;0.00;0.279037;0.279037;0.00
2007;1;45;al Sector Publico+Remesas al IPV;0.80;0.279037;0.279037;302.80
2007;1;44;Transferencias para financiar Erogaciones de Capital;0.80;0.279037;0.279037;302.80
2007;1;43;Trabajos Publicos;9.11;0.279037;0.279037;3448.16
2007;1;42;Bienes de Capital;0.20;0.279037;0.279037;75.70
2007;1;41;VI. Erogaciones de Capital;10.11;0.279037;0.279037;3826.66
2007;1;40;Resto Otros Recursos de Capital;0.04;0.279037;0.279037;15.14
2007;1;39;Fondo Residual;2.00;0.279037;0.279037;757.01
2007;1;38;Venta de Acciones;0.00;0.279037;0.279037;0.00
2007;1;37;Otros Recursos de Capital;2.04;0.279037;0.279037;772.15
2007;1;36;Reembolsos de Prestamos;0.00;0.279037;0.279037;0.00
2007;1;35;Reembolsos de Obras Publicas;0.00;0.279037;0.279037;0.00
2007;1;34;V. Recursos de Capital;2.04;0.279037;0.279037;772.15
2007;1;33;IV.Resultado Economico Neto de Remesas;85.00;0.279037;0.279037;32172.75
2007;1;32;Remesas EMT;0.00;0.279037;0.279037;0.00
2007;1;31;Remesas ATM;0.00;0.279037;0.279037;0.00
2007;1;30;Resultado Economico con Remesas;85.00;0.279037;0.279037;32172.75
2007;1;29;Otras Erogaciones Corrientes;0.10;0.279037;0.279037;37.85
2007;1;28;Otras Transferencias;16.08;0.279037;0.279037;6086.33
2007;1;27;Municipios;34.57;0.279037;0.279037;13084.85
2007;1;26;Transferencias a Municipios y Otros;50.65;0.279037;0.279037;19171.17
2007;1;25;Intereses y Gastos de la Deuda;4.38;0.279037;0.279037;1657.84
2007;1;24;Otros Servicios;6.15;0.279037;0.279037;2327.79
2007;1;23;Bienes Corrientes;3.14;0.279037;0.279037;1188.50
2007;1;22;Locaciones de Servicio;3.77;0.279037;0.279037;1426.96
2007;1;21;Personal;120.76;0.279037;0.279037;45708.01
2007;1;20;Erogaciones Corrientes;188.95;0.279037;0.279037;71518.12
2007;1;19;Aportes no Reintegrables;9.97;0.279037;0.279037;3773.67
2007;1;18;Coparticipacion Vial;0.84;0.279037;0.279037;317.94
2007;1;17;Ley 25.053 Fdo. Nac. de Incentivo Docente;4.48;0.279037;0.279037;1695.69
2007;1;16;Regimenes Especiales Nacionales s/Financ. Educativo;19.63;0.279037;0.279037;7430.01
2007;1;15;Coparticipacion Federal + Financ. Educativo;134.82;0.279037;0.279037;51029.76
2007;1;14;De Origen Nacional;169.74;0.279037;0.279037;64247.08
2007;1;13;Otros no Tributarios;4.68;0.279037;0.279037;1771.39
2007;1;12;Remesas del Instituto de Juegos y Casino;-0.12;0.279037;0.279037;-45.42
2007;1;11;Tasas Retributivas de Servicios;4.36;0.279037;0.279037;1650.27
2007;1;10;Regalias;46.01;0.279037;0.279037;17414.92
2007;1;9;No Tributarios;54.93;0.279037;0.279037;20791.16
2007;1;8;Otros Tributarios;0.45;0.279037;0.279037;170.33
2007;1;7;Sellos y Tasas de Justicia;9.71;0.279037;0.279037;3675.26
2007;1;6;Inmobiliario;3.65;0.279037;0.279037;1381.54
2007;1;5;Automotor;4.51;0.279037;0.279037;1707.05
2007;1;4;Ingresos Brutos;30.96;0.279037;0.279037;11718.45
2007;1;3;Tributarios;49.28;0.279037;0.279037;18652.62
2007;1;2;De Origen Provincial;104.21;0.279037;0.279037;39443.79
2007;1;1;Recursos Corrientes;273.95;0.279037;0.279037;103690.87
2007;2;55;Resultado Operativo - Amortizacion de la D Consolidada;-52.90;0.282123;0.282123;-19803.78
2007;2;54;Amortizacion de la Deuda Consolidada;60.86;0.282123;0.282123;22783.71
2007;2;53;IX. Resultado Operativo (VIII-IX);7.96;0.282123;0.282123;2979.93
2007;2;52;VIII. Egresos Totales (II+V+VI+VII);291.49;0.282123;0.282123;109122.97
2007;2;51;VII. Ingresos Totales (I+IV);299.45;0.282123;0.282123;112102.90
2007;2;50;Otros;0.00;0.282123;0.282123;0.00
2007;2;49;Compra de Acciones, Titulos, Valores, Otros;0.00;0.282123;0.282123;0.00
2007;2;48;Prestamos;0.00;0.282123;0.282123;0.00
2007;2;47;Inversion Financiera;0.00;0.282123;0.282123;0.00
2007;2;46;al Sector Privado;0.00;0.282123;0.282123;0.00
2007;2;45;al Sector Publico+Remesas al IPV;1.25;0.282123;0.282123;467.95
2007;2;44;Transferencias para financiar Erogaciones de Capital;1.25;0.282123;0.282123;467.95
2007;2;43;Trabajos Publicos;13.11;0.282123;0.282123;4907.89
2007;2;42;Bienes de Capital;0.21;0.282123;0.282123;78.62
2007;2;41;VI. Erogaciones de Capital;14.57;0.282123;0.282123;5454.46
2007;2;40;Resto Otros Recursos de Capital;0.02;0.282123;0.282123;7.49
2007;2;39;Fondo Residual;0.77;0.282123;0.282123;288.26
2007;2;38;Venta de Acciones;0.00;0.282123;0.282123;0.00
2007;2;37;Otros Recursos de Capital;0.79;0.282123;0.282123;295.75
2007;2;36;Reembolsos de Prestamos;0.38;0.282123;0.282123;142.26
2007;2;35;Reembolsos de Obras Publicas;0.00;0.282123;0.282123;0.00
2007;2;34;V. Recursos de Capital;1.17;0.282123;0.282123;438.00
2007;2;33;IV.Resultado Economico Neto de Remesas;21.36;0.282123;0.282123;7996.39
2007;2;32;Remesas EMT;0.00;0.282123;0.282123;0.00
2007;2;31;Remesas ATM;0.00;0.282123;0.282123;0.00
