id_provincia_indec,fecha,puestos,masa
2.0,2014-01-01,1146412.0,15594078576.0
2.0,2014-02-01,1147371.0,15044491059.0
2.0,2014-03-01,1149616.0,16476334372.0
2.0,2014-04-01,1148638.0,16622068501.0
2.0,2014-05-01,1150599.0,16165221991.0
2.0,2014-06-01,1154283.0,23810940482.0
2.0,2014-07-01,1153460.0,17261560552.0
2.0,2014-08-01,1154350.0,17444630694.0
2.0,2014-09-01,1161179.0,18352328235.0
2.0,2014-10-01,1163131.0,18664964884.0
2.0,2014-11-01,1166331.0,18862870990.0
2.0,2014-12-01,1169558.0,27855077530.0
2.0,2015-01-01,1160982.0,21135991514.0
2.0,2015-02-01,1162443.0,20164487320.0
2.0,2015-03-01,1172665.0,22083575844.0
2.0,2015-04-01,1172368.0,21431426152.0
2.0,2015-05-01,1174058.0,21402279790.0
2.0,2015-06-01,1181859.0,33307265277.0
2.0,2015-07-01,1184485.0,23404835333.0
2.0,2015-08-01,1185857.0,23716686169.0
2.0,2015-09-01,1188506.0,24336056441.0
2.0,2015-10-01,1193112.0,24889207237.0
2.0,2015-11-01,1194185.0,25477117208.0
2.0,2015-12-01,1195254.0,37742957353.0
2.0,2016-01-01,1183173.0,27877879264.0
2.0,2016-02-01,1186657.0,27537582943.0
2.0,2016-03-01,1191794.0,29724103615.0
2.0,2016-04-01,1189386.0,29371368574.0
2.0,2016-05-01,1190067.0,30107581029.0
2.0,2016-06-01,1189767.0,43265011570.0
2.0,2016-07-01,1187916.0,30885798874.0
2.0,2016-08-01,1189398.0,31654547306.0
2.0,2016-09-01,1191172.0,32324192660.0
2.0,2016-10-01,1193183.0,33403111421.0
2.0,2016-11-01,1196205.0,34419938289.0
2.0,2016-12-01,1196368.0,51400746433.0
2.0,2017-01-01,1185299.0,38107443006.0
2.0,2017-02-01,1185604.0,36683850010.0
2.0,2017-03-01,1195816.0,39393672558.0
2.0,2017-04-01,1189628.0,38624543810.0
2.0,2017-05-01,1194127.0,38714228506.0
2.0,2017-06-01,1194642.0,56215940518.0
2.0,2017-07-01,1195743.0,40462800747.0
2.0,2017-08-01,1199800.0,41219948110.0
2.0,2017-09-01,1199878.0,42048900151.0
2.0,2017-10-01,1204631.0,43116007515.0
2.0,2017-11-01,1207208.0,43505503681.0
2.0,2017-12-01,1208830.0,64145511152.0
2.0,2018-01-01,1197686.0,48305961583.0
2.0,2018-02-01,1199162.0,46297010624.0
2.0,2018-03-01,1205494.0,49672650714.0
2.0,2018-04-01,1201284.0,48910838324.0
2.0,2018-05-01,1201229.0,48887934177.0
2.0,2018-06-01,1198865.0,70227073963.0
2.0,2018-07-01,1198453.0,50181911702.0
2.0,2018-08-01,1200243.0,51534682404.0
2.0,2018-09-01,1197428.0,53299392183.0
2.0,2018-10-01,1199474.0,56090681646.0
2.0,2018-11-01,1196211.0,58192131251.0
2.0,2018-12-01,1192881.0,85387802910.0
2.0,2019-01-01,1183770.0,65519117836.0
2.0,2019-02-01,1185407.0,66495868446.0
2.0,2019-03-01,1188814.0,74426289984.0
2.0,2019-04-01,1182183.0,72357911195.0
2.0,2019-05-01,1181419.0,71148492482.0
2.0,2019-06-01,1179720.0,101638998080.0
2.0,2019-07-01,1180645.0,74463251297.0
2.0,2019-08-01,1181831.0,76896451416.0
2.0,2019-09-01,1177730.0,80562598452.0
2.0,2019-10-01,1180333.0,86319447265.0
2.0,2019-11-01,1174299.0,86182506838.0
2.0,2019-12-01,1175188.0,126833897800.0
2.0,2020-01-01,1163353.0,100420985672.0
2.0,2020-02-01,1164961.0,100234100278.0
2.0,2020-03-01,1163384.0,105987777857.0
2.0,2020-04-01,1141056.0,96288049293.0
2.0,2020-05-01,1135820.0,94054775465.0
2.0,2020-06-01,1135996.0,135064920701.0
2.0,2020-07-01,1134167.0,100486512546.0
2.0,2020-08-01,1136106.0,101505418996.0
2.0,2020-09-01,1136362.0,104590242371.0
2.0,2020-10-01,1137124.0,109749260751.0
2.0,2020-11-01,1138917.0,112813240662.0
2.0,2020-12-01,1137991.0,165790504463.0
2.0,2021-01-01,1133709.0,134849216220.0
2.0,2021-02-01,1135543.0,131009251597.0
2.0,2021-03-01,1140273.0,146896419846.0
2.0,2021-04-01,1140291.0,142002129883.0
2.0,2021-05-01,1138099.0,137424625404.0
2.0,2021-06-01,1139805.0,203602419108.0
2.0,2021-07-01,1139310.0,151005861847.0
2.0,2021-08-01,1142125.0,152767438085.0
2.0,2021-09-01,1144609.0,164269273540.0
2.0,2021-10-01,1147990.0,172056515310.0
2.0,2021-11-01,1151964.0,176678689673.0
2.0,2021-12-01,1151568.0,264771089139.0
2.0,2022-01-01,1144138.0,211385377714.0
2.0,2022-02-01,1147149.0,209752870412.0
2.0,2022-03-01,1154298.0,239865835086.0
2.0,2022-04-01,1151708.0,228919573877.0
2.0,2022-05-01,1154363.0,238239205648.0
2.0,2022-06-01,1155519.0,346312726954.0
2.0,2022-07-01,1157235.0,262719643198.0
2.0,2022-08-01,1158224.0,272774731712.0
2.0,2022-09-01,1159590.0,296971304191.0
2.0,2022-10-01,1161435.0,314201949660.0
2.0,2022-11-01,1161971.0,338112211278.0
6.0,2014-01-01,3725358.0,37337153954.0
6.0,2014-02-01,3718815.0,36041256448.0
6.0,2014-03-01,3694941.0,38144838981.0
6.0,2014-04-01,3690948.0,39726783850.0
6.0,2014-05-01,3694457.0,39803041090.0
6.0,2014-06-01,3702104.0,57575613501.0
6.0,2014-07-01,3693408.0,42268811022.0
6.0,2014-08-01,3686671.0,42630343152.0
6.0,2014-09-01,3711932.0,44798156163.0
6.0,2014-10-01,3730118.0,45399089787.0
6.0,2014-11-01,3748702.0,45721468625.0
6.0,2014-12-01,3766601.0,67534628616.0
6.0,2015-01-01,3783357.0,50297502121.0
6.0,2015-02-01,3769978.0,49024370314.0
6.0,2015-03-01,3769455.0,51781794399.0
6.0,2015-04-01,3771050.0,51961632409.0
6.0,2015-05-01,3776273.0,52745924265.0
6.0,2015-06-01,3795842.0,79429928729.0
6.0,2015-07-01,3807461.0,58063726679.0
6.0,2015-08-01,3824225.0,58823148106.0
6.0,2015-09-01,3833520.0,60582558258.0
6.0,2015-10-01,3864476.0,61525681901.0
6.0,2015-11-01,3875025.0,62747286134.0
6.0,2015-12-01,3867030.0,91967737550.0
6.0,2016-01-01,3856316.0,67306616351.0
6.0,2016-02-01,3851025.0,66215548196.0
6.0,2016-03-01,3839241.0,69396712892.0
6.0,2016-04-01,3819914.0,70724794196.0
6.0,2016-05-01,3810140.0,72255707793.0
6.0,2016-06-01,3808434.0,104519188298.0
6.0,2016-07-01,3801486.0,76123209814.0
6.0,2016-08-01,3801287.0,78018734896.0
6.0,2016-09-01,3804389.0,78796910401.0
6.0,2016-10-01,3815523.0,81219464667.0
6.0,2016-11-01,3834023.0,84060899285.0
6.0,2016-12-01,3846005.0,124270872860.0
6.0,2017-01-01,3838322.0,92268413792.0
6.0,2017-02-01,3827239.0,88370926144.0
